,water_availability_gw[MCM]
616,0.012898955661570559
617,0.012898955661570559
618,0.012898955661570559
619,0.012898955661570559
620,0.012898955661570559
621,0.012898955661570559
622,0.012898955661570559
623,0.012898955661570559
624,0.012898955661570559
625,0.012898955661570559
626,0.012898955661570559
627,0.012272735356177842
628,0.0075918878229607615
629,0.00478466310323901
630,0.003707919984840765
631,0.005095607129278684
632,0.0040248995840277135
633,0.0012076148918597248
634,0.0
635,0.0
636,0.0
637,0.0
638,0.0
639,0.0
640,0.0
641,0.0
642,0.0
643,0.0
644,0.0
645,0.0
646,0.0
647,0.0
648,0.0
649,0.0
650,0.0
651,0.0
652,0.0
653,0.0
654,0.0
655,0.0
656,0.0
657,0.0008864143001275453
658,0.011349678981837735
659,0.012898955661570559
660,0.012898955661570559
661,0.012898955661570559
662,0.012898955661570559
663,0.012898955661570559
664,0.012898955661570559
665,0.012898955661570559
666,0.012898955661570559
667,0.012898955661570559
668,0.012898955661570559
669,0.012898955661570559
670,0.012898955661570559
671,0.012898955661570559
672,0.012898955661570559
673,0.012898955661570559
674,0.012898955661570559
675,0.012898955661570559
676,0.012898955661570559
677,0.012898955661570559
678,0.01268448240132151
679,0.00934350719203135
680,0.0016528718229323692
681,0.0036353104161858996
682,0.0
683,0.0
684,0.0
685,0.0
686,0.0
687,0.0
688,0.0
689,0.0
690,0.0
691,0.0
692,0.0
693,0.0
694,0.0
695,0.0
696,0.0
697,0.0
698,0.0
699,0.0
700,0.0
701,0.0
702,0.0
703,0.0
704,0.0
705,0.0029733257286261483
706,0.012898955661570559
707,0.012898955661570559
708,0.012898955661570559
709,0.012898955661570559
710,0.012898955661570559
711,0.012898955661570559
712,0.012898955661570559
713,0.012898955661570559
714,0.012898955661570559
715,0.012898955661570559
716,0.012898955661570559
717,0.012898955661570559
718,0.012898955661570559
719,0.012898955661570559
720,0.012898955661570559
721,0.012898955661570559
722,0.012898955661570559
723,0.012898955661570559
724,0.012898955661570559
725,0.012898955661570559
726,0.012898955661570559
727,0.012253496306616936
728,0.00817079486341695
729,0.004428727401029023
730,0.0006334473925653933
731,0.010241985766865459
732,0.0029711668339461625
733,0.0
734,0.0
