FLH_pv,FLH_el
1858.4761904761904,6310.414330637781
1860.7435897435898,6240.008706327499
1861.7692307692307,6234.836385393894
1867.695652173913,6226.568394737638
1871.9642857142858,6173.63669906024
1875.65625,6065.0942570130865
1878.4615384615386,5984.494104572659
1884.1944444444443,5872.883835224289
1888.2142857142858,5899.570919403603
1892.0645161290322,6052.100852758915
1889.0,6276.3519144281745
1887.2439024390244,6232.401836211357
1894.595238095238,5978.980792411225
1896.5405405405406,5730.478909767669
1894.9512195121952,5580.934050126001
1902.5578947368422,5508.772404845309
1917.1833333333334,5550.285705320624
1916.532258064516,5667.624086834636
1911.76,6019.536550468882
1909.7894736842106,6110.346405162709
1908.7142857142858,6105.56637257649
1909.5454545454545,6064.9245964385045
1909.6216216216217,5936.760752649832
1910.7818181818182,5965.620316668472
1912.4791666666667,5862.806492400385
1913.875,5918.9142512010585
1914.581818181818,5617.795512352517
1920.9344262295083,5337.548026230914
1930.9789473684211,5260.270221565821
1938.1724137931035,5180.900401027902
1942.2058823529412,5117.753374898719
1945.6470588235295,5135.72882462581
1948.537037037037,4877.246957416588
1953.3265306122448,4678.89974565056
1953.7837837837837,4643.463113875623
1938.6938775510205,4748.493760912068
1925.0348837209303,4935.7159627455985
1896.095238095238,5210.0519644859305
1826.7,6484.514772293391
1830.6,6471.003518441605
1834.35,6448.404829933395
1837.3333333333333,6421.471655518457
1841.111111111111,6366.149586992804
1846.7272727272727,6333.721370869112
1850.2,6322.163047437469
1854.7142857142858,6320.5088072993385
1858.2666666666667,6313.701216827176
1861.75,6281.36034845814
1863.857142857143,6242.512588299898
1864.392857142857,6278.96096531098
1866.5227272727273,6312.081401688018
1870.7692307692307,6212.295178115281
1875.4177215189873,6035.916027539322
1882.9285714285713,6004.630879339762
1885.34,5967.5462477784895
1888.4255319148936,6019.65404643424
1890.6976744186047,6026.536548238684
1889.5384615384614,6172.179176404228
1887.4193548387098,6044.188752618531
1894.2291666666667,5854.66567282984
1898.0,5699.184923913213
1901.9444444444443,5743.30813729568
1907.7432432432433,5658.217920901632
1910.9142857142858,5601.387675477745
1909.654761904762,5646.948067264457
1910.648148148148,6299.935784031142
1906.1458333333333,6458.554181939719
1907.0625,6311.166271325579
1907.5454545454545,6125.351168568857
1910.6363636363637,5947.48106675531
1913.6170212765958,6066.490245280089
1910.4054054054054,5986.72644159451
1912.8039215686274,6014.189382778684
1915.0882352941176,5862.91077176691
1918.4464285714287,5863.083262518776
1922.1698113207547,5570.945663943217
1925.1132075471698,5430.917305982992
1926.9772727272727,5251.372467788664
1931.377358490566,5106.759850740724
1932.2666666666667,4969.559750250686
1934.2833333333333,4801.422797699401
1934.175,4731.030303928041
1940.9868421052631,4690.577398085821
1943.888888888889,4847.681608457759
1926.9019607843138,5084.888463676907
1923.1948051948052,5158.08839693552
1913.1176470588234,5230.611937574926
1900.9166666666667,5404.552411422046
1830.15,6484.380004338222
1828.6875,6481.166120677051
1832.5,6462.298623935814
1836.388888888889,6418.374672228383
1839.6470588235295,6381.206601602869
1843.8333333333333,6341.736193905468
1848.0,6356.469578306045
1851.1739130434783,6365.734019801806
1855.45,6329.075329037209
1860.392857142857,6324.360401860526
1864.4545454545455,6254.90296745603
1864.4347826086957,6292.740019700577
1866.4375,6300.700337325718
1872.8235294117646,6201.593638591439
1882.7222222222222,6044.534759495553
1884.1052631578948,6051.491448055342
1889.4285714285713,5978.950408310397
1891.96,5986.488038102252
1888.9722222222222,6150.897528353729
1886.0,6208.513190327474
1886.03125,6148.054664873518
1889.5652173913043,6099.702335445938
1893.2,6138.874275338952
1891.2714285714285,6136.7259427415265
1895.2054794520548,6016.349861419789
1906.88,5787.070837305422
1908.953488372093,6090.181962047995
1905.4444444444443,6485.9952305000625
1902.48,6486.496695482318
1905.9285714285713,6260.789583671052
1907.5833333333333,6080.0739798278955
1910.8285714285714,6040.227936529729
1915.1935483870968,5950.719725935691
1912.5961538461538,5975.495878601068
1912.8,5915.9306216729165
1915.4666666666667,5906.0124303226185
1918.409090909091,5838.3287139766035
1921.111111111111,5608.956215943006
1921.6944444444443,5503.585360807338
1920.6206896551723,5477.077704406722
1921.3428571428572,5203.670060136326
1924.3333333333333,5130.49123382676
1926.4782608695652,5182.268015319103
1925.0333333333333,5183.490263616055
