,water_availability_gw[MCM]
615,0.012898955661570557
616,0.012898955661570557
617,0.012898955661570557
618,0.012898955661570557
619,0.012898955661570557
620,0.012898955661570557
621,0.012898955661570557
622,0.012898955661570557
623,0.012898955661570557
624,0.012898955661570557
625,0.012898955661570557
626,0.012898955661570557
627,0.01227273535617784
628,0.00759188782296076
629,0.004784663103239009
630,0.0037079199848407646
631,0.0050956071292786835
632,0.004024899584027713
633,0.0012076148918597246
634,0.0
635,0.0
636,0.0
637,0.0
638,0.0
639,0.0
640,0.0
641,0.0
642,0.0
643,0.0
644,0.0
645,0.0
646,0.0
647,0.0
648,0.0
649,0.0
650,0.0
651,0.0
652,0.0
653,0.0
654,0.0
655,0.0
656,0.0
657,0.0008864143001275451
658,0.011349678981837733
659,0.012898955661570557
660,0.012898955661570557
661,0.012898955661570557
662,0.012898955661570557
663,0.012898955661570557
664,0.012898955661570557
665,0.012898955661570557
666,0.012898955661570557
667,0.012898955661570557
668,0.012898955661570557
669,0.012898955661570557
670,0.012898955661570557
671,0.012898955661570557
672,0.012898955661570557
673,0.012898955661570557
674,0.012898955661570557
675,0.012898955661570557
676,0.012898955661570557
677,0.012898955661570557
678,0.012684482401321506
679,0.009343507192031348
680,0.0016528718229323687
681,0.003635310416185899
682,0.0
683,0.0
684,0.0
685,0.0
686,0.0
687,0.0
688,0.0
689,0.0
690,0.0
691,0.0
692,0.0
693,0.0
694,0.0
695,0.0
696,0.0
697,0.0
698,0.0
699,0.0
700,0.0
701,0.0
702,0.0
703,0.0
704,0.0
705,0.0029733257286261475
706,0.012898955661570557
707,0.012898955661570557
708,0.012898955661570557
709,0.012898955661570557
710,0.012898955661570557
711,0.012898955661570557
712,0.012898955661570557
713,0.012898955661570557
714,0.012898955661570557
715,0.012898955661570557
716,0.012898955661570557
717,0.012898955661570557
718,0.012898955661570557
719,0.012898955661570557
720,0.012898955661570557
721,0.012898955661570557
722,0.012898955661570557
723,0.012898955661570557
724,0.012898955661570557
725,0.012898955661570557
726,0.012898955661570557
727,0.012253496306616934
728,0.008170794863416948
729,0.004428727401029022
730,0.000633447392565393
731,0.010241985766865457
732,0.002971166833946162
733,0.0
