,water_availability_sw[MCM]
479,0.08923614587118678
480,0.11274929406779045
481,0.09196306310064237
482,0.10525776321763773
483,0.11604718743231174
484,0.11796879884101037
485,0.07742382398475678
486,0.06984320465962926
487,0.07858602363556426
488,0.10700821676835448
489,0.1926422186347273
490,0.18254012550273757
491,0.15495023469827238
492,0.09839471106367079
493,0.08701082375234681
494,0.12683499185653166
495,0.15825676694521548
496,0.17832273109044616
497,0.09570234936390239
498,0.04385744633486167
499,0.17015736741139323
500,0.18969366007813745
501,0.12109202480156593
502,0.12922202305570465
503,0.13973311327735136
504,0.13887165472085272
505,0.13313354703724925
506,0.13638014703739113
507,0.1239984688063495
508,0.12896528626873183
509,0.1325290952327991
510,0.13834198324236624
511,0.10050637788564896
512,0.05179252980435857
513,0.11121157299671044
514,0.0859452715986332
515,0.08205237520731058
516,0.09000338661627269
517,0.08873887020178205
518,0.114650658095813
519,0.10637811828171462
520,0.09500017020205563
521,0.07391076845491758
522,0.13580890093724973
523,0.15387982317319654
524,0.1065319983748529
525,0.1717814773066912
526,0.15883179255641638
527,0.15470429651432685
528,0.07010858032902385
529,0.12033882224041544
530,0.15363982422091596
531,0.17144321106686267
532,0.12956001933045747
533,0.0772799325994187
534,0.063501185101727
535,0.14066395285830005
536,0.10306267718727405
537,0.129761953207067
538,0.14516211094929987
539,0.12873554598932715
540,0.17102503516463255
541,0.15696282433747558
542,0.14379365798067198
543,0.13786900442977282
544,0.13418668079748153
545,0.12719269558180923
546,0.1293988501802758
547,0.1263539140916678
548,0.0310276260781893
549,8.71987194450209e-05
550,0.0623608526220497
551,0.10115321420698108
552,0.10144315669826265
553,0.10462172549933287
554,0.08626760989899653
555,0.08638531467199352
556,0.1122020748593847
557,0.12329224016836754
558,0.11362614063360292
559,0.14713339593192387
560,0.12770157974946825
561,0.0959963413313192
562,0.08390190594080235
563,0.14656349965716087
564,0.150503369971652
565,0.10782189150645756
566,0.0769470656611038
567,0.11052748149493434
568,0.14098278161267955
569,0.17082148149756893
570,0.11692727357903238
571,0.0849010466858984
572,0.05265992759252219
573,0.07031375378654156
574,0.10847115751347079
575,0.14379014843468813
576,0.13431383434812738
577,0.14423451094925935
578,0.1518891007051235
579,0.16121666403498391
580,0.17494087858738805
581,0.1620190002399084
582,0.14194763679316408
583,0.1460740529749509
584,0.14485300093764492
585,0.155829510949766
586,0.15989005565308662
587,0.046144590456032614
588,0.0014119173458125678
589,0.1121362033809185
590,0.08415621304209403
591,0.08275941374051961
592,0.1184002030319489
593,0.08158533562638215
594,0.08528358719813862
595,0.07698405087647213
596,0.1311147482013054
597,0.14462164086778617
598,0.10473187125021079
599,0.1016993535550841
600,0.09040887415994582
601,0.08912519022508181
602,0.12405786112299937
603,0.13528111921429303
604,0.13400715402215355
605,0.06516282014254465
606,0.13256851013384854
607,0.170332844710586
608,0.1749141520448956
609,0.15443838091478088
610,0.1006764558833281
611,0.0706015365572177
612,0.04586706635823236
613,0.14403014738696868
614,0.15862931874965552
615,0.18176694552598666
616,0.18112064913480594
617,0.22434853691317908
618,0.19232204005496942
619,0.24736143982454553
620,0.19904390047435508
621,0.15716853772514464
622,0.15474857078673854
623,0.13773267206655382
624,0.1384729163040716
625,0.09933418952704129
626,0.10882778137844563
627,0.11457128836356273
628,0.07232040419407976
629,0.03174249359859306
630,0.026787824564616376
631,0.058029802912896535
632,0.03650575739391179
633,0.01092359685728756
634,0.10717856473110932
635,0.09324458731490093
636,0.08404849697689723
637,0.08756263236703915
638,0.07730422945623001
639,0.0734143026807399
640,0.0813995996543135
641,0.1407222653146472
642,0.11755602224029385
643,0.08745734598752349
644,0.11208652980699316
645,0.10913068219335992
646,0.09414627066767606
647,0.09546343027192454
648,0.08526900908405184
649,0.11889558894582386
650,0.05527669907109987
651,0.19446043341944005
652,0.18081828825004298
653,0.16841933225415778
654,0.10724065669851598
655,0.121545836093786
656,0.09032545495156033
657,0.09768686263523473
658,0.15407419802768696
659,0.16479964051942456
660,0.19577813295383986
661,0.23290534995196974
662,0.20749326741302462
663,0.21260505612104777
664,0.17318475577008197
665,0.10850949255421753
666,0.17174638184685265
667,0.12204068207750958
668,0.15834774517572003
669,0.14610752864433538
670,0.16034386694530667
671,0.13416778324218384
672,0.13915403819001523
673,0.14733478987838203
674,0.12522842969115297
675,0.11873091024965833
676,0.13413322771249667
677,0.10874139255422767
678,0.11854814389342218
679,0.09202596496327607
680,0.015993810943655786
681,0.08547094296066136
682,0.09020208091197403
683,0.10674203120373285
684,0.08305853504437434
685,0.08282420535868308
686,0.09794116973652639
687,0.08495072025982373
688,0.10247820279842429
689,0.098739996395467
690,0.08971452398529382
691,0.11143402421907174
692,0.13850423225285063
693,0.11762432340444119
694,0.09779322887505311
695,0.09907016368302508
696,0.12274016158859953
697,0.10660299918975703
698,0.13475846682777426
699,0.12247883539534014
700,0.16026530710828343
701,0.12524381770046678
702,0.1384469996568062
703,0.162991414442512
704,0.16250601723643726
705,0.13011506752605798
706,0.1188534743940176
707,0.17757195821497682
708,0.2238863567036129
709,0.2132689002421478
710,0.11622806403301814
711,0.1189595706687603
712,0.09285988708205524
713,0.1645966267825123
714,0.13822535832967198
715,0.14606568405760478
716,0.12927817579144635
717,0.1222199388877619
718,0.1374708059431431
719,0.15078008417422523
720,0.12552782096008339
721,0.14242709476757384
722,0.12533182631513887
723,0.16637893621215943
724,0.1667595869688699
725,0.14026926391765418
726,0.15576822887758637
727,0.14706347497732242
728,0.07093818300659213
729,0.0382340738084227
730,0.005917904424007131
731,0.10495459243764776
732,0.10173579884030105
733,0.11183519232153397
734,0.100029619561996
735,0.09785073143617319
736,0.10294362258889865
737,0.16795148277800231
738,0.12567765157708646
739,0.10900406857286546
740,0.07962619907216384
741,0.11324306019121132
742,0.15544859022797985
743,0.0923885280599159
744,0.08583647567313368
745,0.11058849360203829
746,0.07445987741885311
747,0.0796826217729812
748,0.19150647556133657
749,0.2325600646201735
750,0.2289009579843908
751,0.21120906671470038
752,0.18981568429234535
753,0.21543051060312698
754,0.18397067043877213
755,0.1168981173508588
756,0.1662817487849142
757,0.18566470128867152
758,0.20272352445588954
759,0.10841527474280478
760,0.06903978859440207
761,0.14848619092616225
762,0.09263257648833169
763,0.10856942480101874
764,0.1505994775385945
765,0.15305157032100666
766,0.1672271664799497
767,0.1531355294595435
768,0.13159042666465565
769,0.1440719919736993
770,0.12267590990058741
771,0.15532386636301515
772,0.1417694598432145
773,0.14977959360375076
774,0.15730190047253115
775,0.1480793535571107
776,0.16563356263820372
777,0.1241134739285897
778,0.12354681723473489
779,0.12397444191461388
780,0.11501322119245282
781,0.02546877520483814
782,0.11487094959756884
783,0.1226589021008195
784,0.11321525378841615
785,0.1076434445914323
786,0.11489389662900173
787,0.14412787474436528
788,0.07371423387982168
789,0.10763048626779961
790,0.07951227381022638
791,0.08445965378715967
792,0.06607395227296864
793,0.13032051094865135
794,0.09928721560387276
795,0.05789509034013163
796,0.0975910250333679
797,0.10651957998137154
798,0.15655517707319702
799,0.17852574482735842
800,0.22166724378151362
801,0.18808007882079103
802,0.20010648301223619
803,0.12418717439425066
804,0.120832858328912
805,0.15543968138048236
806,0.09268899918914905
807,0.10749037439352108
808,0.12432377672254534
809,0.12271100536042596
810,0.1003524977925107
811,0.06707552270374581
812,0.1429802532076446
813,0.11861401537188838
814,0.08297025646462661
815,0.18418313295333322
816,0.15431419697996754
817,0.18283870687644094
818,0.1319926746274206
819,0.1507673958156682
820,0.1690964046639662
821,0.15852241257968577
822,0.14965837928476994
823,0.1318004594935356
824,0.15024744307990626
825,0.14234988475592902
826,0.12252337963282756
827,0.1347768244529206
828,0.14533758824849263
829,0.14104919302129712
830,0.13237332538413105
831,0.13344508673458533
832,0.13016123155399947
833,0.08638828428782601
834,0.053650699420272126
835,0.043539967405860594
836,0.0027131490105958517
837,0.12328387125102142
838,0.12448737555840812
839,0.0778522585598628
840,0.094926199771319
841,0.09083028964308414
842,0.11315073213532836
843,0.1098379906916446
844,0.11281678533671075
845,0.10774468149481274
846,0.09202731478865449
847,0.07316053550959958
848,0.11185840931804257
849,0.12132230501112197
850,0.08731831397354768
851,0.22104281456146305
852,0.18009289209168766
853,0.16691265716678114
